School Name,Address,Phone number,Mail,Website,Board
"Amanora School, Pune","Amanora Park Town, No. 194, Village Sade Satara Nali, Malwadi Road, Hadapsar-Kharadi Bypass, Pune - 411028",020 - 65270081/ 82/ 83,"admissions@ amanoraschool.edu.in, contact@pearsonschools.in",http://amanoraschool.edu.in,CBSE
"New English School Tilak Rd, Pune","486, Tilak Rd, Sadashiv Peth, Pune - 411030", 020-65603235 , nest@despune.org,http://www.despune.org/newenglishschool-pune,Maharashtra State
"A W Sindhu Vidya Bhavan, Pune","352 Sindh Society, Sadhu Vaswani Nagar, Aundh, Pune, Maharashtra",020-25851816/ 25851816,sindhuvidyabhavan@yahoo.com,http://sindhuvidya.com/,Maharashtra State
"Air Force School, Pune","Air Force  Campus, Viman Nagar,Pune,  Maharashtra- 411014",020-26633451/ 26630112,"afsvnedn@gmail.com, principalafsvn@gmail.com",www.airforceschoolpune.ac.in,CBSE
"Akshara International School, Pune","S. No. 109, Opp Prerana Bhavan, Wakad, Pune, Maharashtra",020- 64102958/ 9225669779,admissions@akshara.in,www.akshara.in,CBSE
"Aksharnandan School, Pune","S No 103, Shivaji Housing Society, S B Road, Bahiratwadi, Pune, Maharashtra 411016?",020-25632224/ 25637513,aksharnandan@gmail.com,http://aksharnandanschool.org/,Maharashtra State
"Anglo Urdu Boys' High School & Junior College, Pune","Anglo Urdu Boys High School & Jr. College2390 – K.B. Hidayatullah Road,New Modikhana,Azam Campus, Camp.Pune – 411001",020 – 26446513. 26445999,info@aubhsjc.com,http://www.aubhsjc.com/,Maharashtra State
"Army Public School, Pune","Dighi, Pune- 411015","020- 65106915, 020- 27150895",armyschooldighi@gmail.com,http://apsdighi.com/index.php,CBSE
"Army Public School, Kirkee, Pune","C/o HQ BEG & Centre Kirkee, Pune – 411003",020-26683454,apskirkee11@gmail.com,https://armypublicschoolkirkee.in/,CBSE
"Army Public School, Pune","Near Ghorpadi Market,Opposite Bank of Maharashtra,Ghorpadi, Pune, Maharashtra - 411001",020-65201244 (Class VI to XII); 020-65201245 (Class I to V),apspune01@gmail.com,http://www.apspune.com/,CBSE
"City International School, Pune","Dnyanganga Ganga Savera Cplx, Shivarkar Garden, Fatima Nagar Rd, Wanworie, Pune - 411040","+(91)-(20)-26873530,26872530,26809008,26809009",,,CBSE
"City International School, Aundh, Pune","Pune Mumbai Highway Near Rajiv Gandhi Bridge D P Road Adjacent to Cosmos Bank Aundh Pune, Maharashtra","020 - 2589 9773, 25899830",,http://www.cityinternationalschool.org.in/home.html,CBSE
"City International School, Pimpri, Pune","Plot No 3, Sukhwani Elite Morwadi Road, Pimpri, Pune - 411018","020 - 2744 0333,",,http://www.cityinternationalschool.org.in/home.html,CBSE
"D Y Patil International School, Pune","Charoli Bk.via Lohegaon,Pune -412 105Maharashtra State, India",020-67077752 / 700,admissions@internationalschool.in,http://www.internationalschool.in/index.htm,ICSE
"Delhi Public School, Pune","Vill. Mohammadwadi, Nyati CountyPune - 411 060","020 - 26970418, 26970428",info@dpspune.com,http://www.dpspune.com/,CBSE
"Jnana Prabodhini Prashala, Pune","510, Sadashiv Peth, Pune - 411030","020 4477691,4478095 4332394, +(91)-(20)-24477691,24207000",prabodhini@vsnl.com,,CBSE
"Kendriya Vidyalaya, Pune",B.e.g    deccan college road deccan college road yerwada  pune maharashtra,020- 26695967,principal_kvbeg@rediffmail.com,www.kvbeg.org,CBSE
"Kendriya Vidyalaya Army Area, Pune","DAD Complex,Wanwari Range, near Lullanager,Pune",020-29705314,"armyareapune@gmail.com, kvpunearmyarea@kvsedu.org",https://armyareapune.kvs.ac.in/,CBSE
"KENDRIYA VIDYALAYA NO 1, Pune","AIR FORCE STATION NEW PROJECT AREA Lohegaon, Pune-411032 MAHARASHTRA","020 6687656,6689026 6689026",principalkv1afs@rediffmail.com ,www.kv1afspune.org,CBSE
"Kendriya Vidyalaya No. 1, Dehu Road, Pune",Dehu road pune distt. maharashtra,"020 7671302, 7671698",principalkv1dehuroad@rediff.com,www.kv1dehu.com,CBSE
"Kendriya Vidyalaya No. 2, AFS Pune",A f station akash nagar pune maharashtra,"020-26684914,26683264 ,26680455 ",kv2afspune@gmail.com,www.kv2afs.org,CBSE
"Kendriya Vidyalaya No. 3, AFS Pune",9  b r d.  a f station pune maharashtra,"020-27019697,27019826",kv9brdpune@gmail.com,www.kv9brd.org.in,CBSE
"Kendriya Vidyalaya, Kirkee, Pune",R h e.  kirkee pune maharashtra,"020 25814712, 25810712",kvrangehills@gmail.com,www.kvrhepune.org,CBSE
"Kendriya Vidyalaya, Pune",Ganeshkhind pune maharashtra,"020 – 25694981  , 25691108",kvganeshkhind@rediffmail.com,www.kvganeshkhindp.com,CBSE
"Kendriya Vidyalaya, Sinhagad Road, Pune","Kendriya Vidyalaya D.I.A.T. Girinagar, Sinhagad Road , Near Khadakwasla Dam, Pune- 411025. Maharashtra",020-24389826 ,kvdiatpune@gmail.com,www.kvdiatpune.org,CBSE
"Kendriya Vidyalaya, Southern Command, Pune","Kendriya Vidyalaya Southern Command, Tarapore Road,Near Parasi Gym Khana,Camp Pune- 411001Land Mark: Opposite Libery Cinema","020 - 26361737, 26342941",kvsoutherncommand@rediffmail.com,www.kvscpune.org,CBSE
"Learning Curve Kids Preschool & Daycare, pune","RH 39,  Manjri Greens Society, Phase -4,off Pune -Solapur Road, Manjri, Hadapsar, Pune 412307",,learningcurvekids@gmail.com,www.learningcurveindia.org,
"Naval Children School, INS Shivaji, Lonavla, Pune","Ins Shivajinagar, Pune, Maharashtra, India.","03192-76846,76574",npspb@yahoo.co.in,,CBSE
"Podar International School, Hadapsar, Pune","Podar International SchoolSr.No.71 Ecp Vastu Handewadi Road,Hadapsar,Pune - 411028.",1800-103-8866,admissions@podar.org,http://www.podar.org/Hadapsar/,CBSE
"Priyadarshani School, Pune","Dighi road, near Sandvik colony, Bhosari",020-27119705/06,,www.priyadarshanigroupofschools.com,CBSE
"Serra International Pre-school Anudh, Pune","SERRA International Plot No. – 1, Ashiyana Park, Opp. Gaikwad Petrol Pump, Aundh, Baner taluka, Pune","+91 9673997227, +91 9561449125",info.aundh@serrapreschools.com ,http://www.serrapreschools.com/en/school/aundh.html,
"Serra International Pre-school Baner, Pune","SERRA International Row House #1, Elite Brooklands, Behind Crosswinds, Near DMart, Baner - Balewadi, Pune",+91 8806663039 / +91 8806664039 / 020 65000647,info.baner@serrapreschools.com,http://www.serrapreschools.com/en/school/baner.html,
"Serra International Pre-school Magarpatta City, Pune","SERRA International Bungalow No. 21, Mulberry Gardens Phase 1, Magarpatta City, Hadapsar, Pune", +91 7709010371 / 72 ,info.magarpatta@serrapreschools.com ,http://www.serrapreschools.com/en/school/magarpatta-city.html,
"Serra International Pre-school, Kothrud, Pune","SERRA International Plot no.4, Yashashree Colony Near Vedant Nagari, D.P. Road, Karvenagar, Pune","+91 7350074652, +91 2065290716 ",info.kothrud@serrapreschools.com,http://www.serrapreschools.com/en/school/kothrud.html,
"Serra International Preschool, Viman Nagar, Pune","SERRA International 62, Parkland Society, Behind Wiekfield IT Park, Viman Nagar, Pune - 411 016 Pune - Viman Nagar Gallery",+91 9158564690,info.vimannagar@serrapreschools.com,http://www.serrapreschools.com/en/school/viman-nagar.html,
