School Name,Address,Phone number
ABHINAV VIDYALAYA HIGH SCHOOL,KARVE ROAD PUNE - 04,25431018
ABIHNAV PRE PRIMARY SCHOOL,NEAR NAL BUS STOP KARVE RD PUNE - 04,-1
ADARSH BAL MANDIR,SANDWIK ROAD GAVALLI NAGAR PUNE - 26,-1
ADARSHA SCHOOL,1367 SHUKRAWAR PETH PUNE - 02,-1
ADARSHA VIDYALAYA GIRLS HIGH SCHOOL,1367/68 SHUKRAWAR PETH PUNE - 02,-1
AGARKAR HIGH SCHOOL FOR GIRLS,442 SOMWAR PETH PUNE - 11,-1
AGRASEN HIGH SCHOOL,SNO 239/2 NEAR BAL GRAM YERAWADA PUNE - 06,-1
AHILYADEVI HIGH SCHOOL FOR GIRLS,393 SHANIWAR PETH PUNE - 30,24450690
AJMERA C S PHONE : 7475252,AJMERA HSG COMPLEX PIMPRI PUNE ,-1
"
AKURDI CHINCHWAD ENGLISH MEDIUM",NIGDI PUNE - 35,-1
ALEGAONKAR PRIMARY SCHOOL,491 ELPHINSTANCE RD PUNE ,25813655
ALEGAONKAR HIGH SCHOOL,ELPHINSTANCE RD PUNE ,25817893
ALL SAINTS HIGH SCHOOL PHONE : 5813969,"CHURCH ROAD,KHADKI, PUNE - 03 ",-1
AMRITA VIDYALAYAM,MATA AMRITANAND AMAYI MATH PUNE,-1
ANAND VIDYANIKETAN HIGH SCHOOL,NAGAR RD PUNE - 14,6630222
ANANDGRAM SOCY,DUDALGAON PUNE.,7185227
ANGLO URDU BOYS HIGH SCHOOL,MODIKHANA PUNE,6443513
ANGLO URDU HIGH GIRLS SCHOOL,2390 B NEW MODIKHANA PUNE,6446936
ANGLO URDU HIGH SCHOOL,PUNE CAMP PUNE - 01,-1
ANJUMAN E ISLAM PEER MOHD URDU SCHOOL,25 BUND GARDEN ROAD PUNE,6128799
APEX ENTERPRISES PHONE : 6361009,3/5 A GENL BHAGAT MARG PUNE. ,-1
ARYA VIDYA MANDIR,"MAHARSHI DAYANAND MARG, PIMPRI PUNE - 17",-1
ATHALYE V .R. PHONE:4379376,RAKSHALEKHA SOC DHANKAWADI PUNE ,-1
BABUBHAI URDU PRIMARY SCHOOL,271 GANESH PETH PUNE.PHONE6331560,-1
BADRIA HIGH SCHOOL,635 RAVIWAR PETH PUNE - 02,-1
BANSILAL R A HIGH SCHOOL,1088 RAVIWAR PETH PUNE - 02,-1
BALJIVAN PRIMARY SCHOOL,1255 BHAVANI PETH PUNE.,6352643
"
BAL NIKETAN SCHOOL","9BRD, CHANDAN NAGAR, PUNE - 411014",-1
BALVIKAS SHIKSHAN SANSTHA PRATHIMAK SHALA,"423, SOMEWAR PETH PUNE",6121541
BAPUSAHEB PAWAR PRARTHAMIK SHALA ,380 D BHAWANI PETH PUNE.,6434413
BHAIRAVNATH VIDYALAYA,WANOWARI PUNE - 40,-1
BHANDARKAR BALAK MANDIR,441 BUDHWAR PETH PUNE.,4454083
BHARAT ENGLISH SCHOOL,OPP SHIVAJINAGAR ST STAND NEAR PUNE - 30,-1
BHARATNA DR AMBDEKAR VIDYALAYA ,S-68 KOTHRUD PUNE.,5281224
BHARTIYA JAIN SANGHATANA SANCHALIT SCHOOL,SANT TUKARAM NAGAR PUNE.,7420898
BHARTIYA MARATHI VIDYALAYA,166 SHUKRAWAR PETH PUNE.,4453625
BHARATIYA VIDYA BHAVAN PRIMARY SCHO,"407-408,KH MUNSHI MARG PUNE - 16",-1
BHARTIYA VIDYAPEETH PRIMARY ENGLISH SCHOOL ,DHANKAWADI PUNE.,4373340
BHARTIYA VIDYAPEETH PRIMARY SCHOOL ,C 14 BALAYWADE PUNE.PHONE 7291698,-1
BASANT PRIMARY SCHOOL,74/1 GHORPADE PUNE,6361664
BISHOP'S SCHOOL,5A BHAGAT ROAD,"6360437,6361233"
BISHOP'S SCHOOL. (BOYS SCHOOL),CAMP PUNE,6330260/1
BRAMHADATTA VIDYALAYA FOR MENTALY RETIRES ,25 MAHAVIR PETH PUNE,7658105
B T  SHAHANI NAVIN HINDI PRIMARY SCHOOL,774 BHAVANI PETH PUNE.,6355533
CAMP EDUCATION PRIMARY SCHOOL  ,148 MG ROAD PUNE,6346165
CAMP EDUCATION SOCIETY  PHONE : 6360665,2015 JAN MOHAMMAD RD PUNE,6350277
CAMP EDUCATION SOCIETY  ,20/5 JAN MOHAMMAD RD PUNE,6353638
CAMP EDUCATION SOCIETY PRIMARY SCHOOL, PCNTDA PUNE.,7657049
CAMP EDUCATION SOCIETY GIRLS SCHOOL,278 SHOLAPUR BAZAR ROAD PUNE - 01,-1
CHATRA PRABHODINI,510 SADASHIV PETH PUNE - 30,-1
CHILDREN PARADISE,"GANESH NAGAR,PUNE",-1
CHOKSEY S M HIGH SCHOOL,1983 CONVENT STREET PUNE.,6340053
CHURCH OF CHRIST,SATARA ROAD PUNE.,4375260
CMS ENGLISH MEDIUM SCHOOL PHONE :7654448 ,"SECTOR NO.28,SAMBAJI CHOWK,NIGDI PUNE - 44",-1
CONVENT OF JESUS 7 MARY,1997 CONVENT STREET PUNE.,6340467
DASTOOR MEHER SCHOOL,MOLEDINA RD PUNE - 01,-1
DIGHE KAMAL M ,MADHUBAN S'NAG PUNE.,539703 
DIVEKAR S.P. PHONE : 5679747,SHWETALI APT ERANDAWANA PUNE. ,-1
DNYAN PRABHODINI NAVNAGAR VIDYALAY,9/25 NIGDI PUNE - 18,7657508
DON BOSCO HIGH SCHOOL,DHOLE PATIL ROAD KONARK APTS PUNE - 01,-1
DON BOSCO HIGH SCHOOL,SHASTRI NAGAR YERAWADA PUNE.,6688876
DON BOSCO HIGH SCHOOL,191-A LOOP ROAD PUNE.,6686527
DR VIKHE PATIL MEMORIAL SCHOOL,S-B ROAD PUNE - 16,-1
ERIN N NAGARVALA SCHOOL,"3,NAGAR ROAD PUNE - 06",-1
